"","Row.names","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Strategy"
"1","Tyrannus_albogularis","40.58","15.24","8.51","6.24","17.48","30.08","107.72","94.98","migratory"
"2","Tyrannus_caudifasciatus_bahamensis","NaN","20.24","9.47","7.59","22.45","25.98","109.28","85.69","sedentary"
"3","Tyrannus_caudifasciatus_caudifasciatus","NaN","19.65","8.96","7.27","22.63","24.36","105.13","86.42","sedentary"
"4","Tyrannus_caudifasciatus_caymanensis","45.7","21.76","9.46","7.42","22.58","22.11","104.14","89.05","sedentary"
"5","Tyrannus_caudifasciatus_flavescens","NaN","20.03","8.51","7.18","22.88","23.94","106.21","84.25","sedentary"
"6","Tyrannus_caudifasciatus_gabbii","NaN","18.39","8.79","6.66","20.79","23.22","103.46","81.72","sedentary"
"7","Tyrannus_caudifasciatus_jamaicensis","38.5","21.04","9.36","7.4","21.96","23.84","101.44","85.96","sedentary"
"8","Tyrannus_caudifasciatus_taylori","52.59","20.51","9.9","7.84","23.73","25.27","114.26","92.73","sedentary"
"9","Tyrannus_couchii","46.27","16.74","10.18","7.59","19.45","31.51","117","95.36","partial"
"10","Tyrannus_crassirostris_crassirostris","54.9","19.46","12.27","10.16","20.16","37.22","128.73","99.3","migratory"
"11","Tyrannus_crassirostris_pompalis","NaN","20.28","12.24","10.46","20.67","38.07","130.22","95.81","migratory"
"12","Tyrannus_cubensis","NaN","26.08","13.92","11.55","22.86","34.45","131.01","97.85","sedentary"
"13","Tyrannus_dominicensis_dominicensis","47.74","20.64","10.97","8.57","18.58","34.16","113.86","87.37","migratory"
"14","Tyrannus_dominicensis_vorax","49.4","22.98","12.66","9.45","19.24","32.37","116","90.71","sedentary"
"15","Tyrannus_forficatus","40.91","13.76","7.63","6.27","19.2","47.06","123.1","221.36","migratory"
"16","Tyrannus_melancholicus_despotes","NaN","17.64","9.73","7.54","17.81","32.81","112.8","93.58","sedentary"
"17","Tyrannus_melancholicus_melancholicus","41.51","17.71","9.73","7.51","18.1","31.56","114.72","94.22","partial"
"18","Tyrannus_melancholicus_satrapa","42.11","17.67","9.88","7.29","19.08","29.49","112.9","93.17","partial"
"19","Tyrannus_niveigularis","33.54","14.76","8.44","6.04","18.07","25.88","103.14","78.05","partial"
"20","Tyrannus_savana_circumdatus","NaN","12.31","6.35","5.23","17.61","34.72","105.26","229.75","sedentary"
"21","Tyrannus_savana_monachus_CA","28.76","11.29","6.4","5.19","17.28","34.01","104.22","270.67","sedentary"
"22","Tyrannus_savana_monachus_SA","29","11.82","6.35","5.37","17.33","34.85","100.92","261.72","sedentary"
"23","Tyrannus_savana_sanctaemartae","NaN","12.04","6.08","5.29","17.58","36.39","105.5","239","sedentary"
"24","Tyrannus_savana_savana","31.08","11.37","6.54","5.39","17.86","38.8","110.91","236.8","migratory"
"25","Tyrannus_tyrannus","40.64","13.97","8.18","6.43","18.68","39.35","117.68","80.17","migratory"
"26","Tyrannus_verticalis","44.11","13.58","7.72","6.55","19.32","42.41","127.09","90.44","migratory"
"27","Tyrannus_vociferans_vociferans","45.72","15.11","8.62","6.96","19.78","39.44","129.27","90.89","partial"
"28","Tyrannus_vociferans_xenopterus","NaN","14.8","8.21","6.56","19.91","39.87","130.19","91.77","sedentary"
